OTUID	species
OTU320	Aspergillus nidulans
OTU384	Wallemia sebi
OTU1786	Aspergillus rubrum
OTU1816	Penicillium decumbens
OTU1915	Aspergillus pseudoglaucus
OTU2159	Aspergillus rubrum
OTU2171	Penicillium decumbens
OTU2104	Penicillium decumbens
OTU2600	Neoascochyta paspali
OTU2536	Alternaria metachromatica
OTU356	Aspergillus nidulans
OTU2601	Didymella glomerata
OTU3050	Wallemia mellicola
OTU235	Nannizzia gypsea
OTU3118	Phanerochaete chrysosporium
OTU2785	Fusarium chlamydosporum
OTU2982	Fungi sp.(Un)
OTU3303	Fusarium culmorum
OTU363	Wallemia sebi
OTU63	Kluyveromyces marxianus
OTU2689	Phoma herbarum
OTU939	Plicaturopsis crispa
OTU348	Aspergillus nidulans
OTU3014	Lignincola laevis
OTU2608	Coniochaeta sp.(N34)
OTU1636	Cryptococcus sp.(CBS 7890)
