s.Cal	s.Con	s.Wes	index	stat	p.value
OTU1292	0	0	1	3	0.656970100750537	0.001
OTU1055	0	0	1	3	0.636938249838823	0.005
OTU401	1	0	0	1	0.705778592374783	0.001
OTU259	1	0	0	1	0.710702972948208	0.001
OTU2575	0	0	1	3	0.608126972900728	0.001
OTU2396	0	0	1	3	0.624846850980631	0.003
OTU356	1	0	0	1	0.71220109552006	0.001
OTU764	0	0	1	3	0.551670169241104	0.001
OTU468	0	0	1	3	0.496668553218527	0.001
OTU1154	0	0	1	3	0.42353871602105	0.002
OTU3168	0	0	1	3	0.424417828492987	0.009
OTU2822	1	0	0	1	0.640105407426102	0.003
OTU925	0	0	1	3	0.652815393266528	0.001
OTU277	1	0	0	1	0.671689957853017	0.001
OTU2066	0	0	1	3	0.523999220849193	0.004
OTU1907	0	0	1	3	0.749315395431818	0.001
OTU2349	0	0	1	3	0.459908632380099	0.006
OTU2086	0	0	1	3	0.435701102372215	0.001
OTU2049	0	0	1	3	0.609872174577054	0.001
OTU844	0	1	0	2	0.522949050626999	0.006
OTU2530	0	0	1	3	0.612571209659082	0.001
OTU284	1	0	0	1	0.660215136333369	0.001
OTU1298	1	0	0	1	0.663891046878636	0.001
OTU629	0	0	1	3	0.47139560492091	0.001
OTU966	0	0	1	3	0.510494587750433	0.001
OTU1723	0	0	1	3	0.489964041437294	0.001
OTU2020	0	0	1	3	0.589053297151671	0.002
OTU1205	0	0	1	3	0.329758416918519	0.005
OTU1846	1	0	0	1	0.429897811878744	0.009
OTU320	1	0	0	1	0.444084855541549	0.002
OTU384	0	0	1	3	0.546692640612499	0.001
OTU1307	0	1	0	2	0.581810902098511	0.009
OTU1786	0	0	1	3	0.607322966712328	0.001
OTU298	1	0	0	1	0.512112159077987	0.004
OTU2633	0	0	1	3	0.494763492561642	0.002
OTU1816	0	0	1	3	0.391778331289294	0.001
OTU2048	0	0	1	3	0.622568098299128	0.005
OTU2213	0	0	1	3	0.380573091897107	0.007
OTU1915	0	0	1	3	0.44251467501729	0.001
OTU2223	0	0	1	3	0.418739290518714	0.003
OTU1942	0	0	1	3	0.50673016838634	0.001
OTU2173	0	0	1	3	0.35672395247002	0.009
OTU751	0	0	1	3	0.337749501433694	0.001
OTU805	0	0	1	3	0.477443606992837	0.007
OTU1180	1	0	0	1	0.469704842361162	0.001
OTU1757	0	1	0	2	0.381207792598702	0.009
OTU2601	0	1	0	2	0.226108578376601	0.005
OTU2159	0	0	1	3	0.475653580963609	0.001
OTU3050	0	1	0	2	0.242936365106179	0.005
OTU393	0	0	1	3	0.393131605547735	0.007
OTU434	0	0	1	3	0.400307958074293	0.001
OTU529	0	0	1	3	0.480043586604347	0.001
OTU235	0	0	1	3	0.475613252631606	0.001
OTU2238	0	1	0	2	0.360765447937563	0.009
OTU1335	1	0	0	1	0.385180811518051	0.001
OTU2324	0	1	0	2	0.532965115366314	0.001
OTU1779	0	1	0	2	0.428278216438773	0.003
OTU1181	1	0	0	1	0.519502662823661	0.001
OTU350	0	0	1	3	0.374270188905344	0.001
OTU3118	0	0	1	3	0.611628485182766	0.001
OTU2171	0	0	1	3	0.37510391151326	0.001
OTU286	0	1	0	2	0.278493347990425	0.005
OTU2474	1	0	0	1	0.331091146098274	0.003
OTU2104	0	0	1	3	0.33240306210345	0.003
OTU276	1	0	0	1	0.409016605204218	0.001
OTU2200	0	0	1	3	0.515131324183189	0.006
OTU2785	0	1	0	2	0.191205936278305	0.007
OTU1213	0	1	0	2	0.166666666666667	0.007
OTU493	1	0	0	1	0.263852904313827	0.007
OTU882	0	0	1	3	0.357660764857116	0.002
OTU1382	0	1	0	2	0.367036214231633	0.007
OTU2600	1	0	0	1	0.318145354301894	0.005
OTU2982	1	0	0	1	0.453183266522867	0.001
OTU1394	0	1	0	2	0.354786930143619	0.003
OTU1208	0	1	0	2	0.390393448577359	0.004
OTU1344	0	1	0	2	0.481900870377793	0.001
OTU440	0	0	1	3	0.460760555687294	0.001
OTU435	0	0	1	3	0.34765521400968	0.001
OTU512	0	0	1	3	0.416321648437008	0.002
OTU3303	0	0	1	3	0.391804767319161	0.001
OTU411	0	0	1	3	0.312293155078705	0.001
OTU1640	0	1	0	2	0.361880294808283	0.008
OTU363	0	0	1	3	0.259151540785901	0.001
OTU517	0	0	1	3	0.297871489725454	0.002
OTU63	0	0	1	3	0.366660149160212	0.001
OTU2689	1	0	0	1	0.254978564862109	0.006
OTU939	0	0	1	3	0.217836300169048	0.006
OTU348	1	0	0	1	0.246139777236852	0.005
OTU2536	0	1	0	2	0.307854038686661	0.001
OTU3014	0	0	1	3	0.230389838447445	0.006
OTU1457	1	0	0	1	0.218797487246842	0.006
OTU441	0	0	1	3	0.262111216998311	0.001
OTU2608	0	1	0	2	0.197992511719726	0.008
OTU1636	0	1	0	2	0.235702260395516	0.001
