s.G18	s.G19	s.G20	index	stat	p.value
OTU1292	1	0	0	1	0.909904248737488	0.001
OTU1055	1	0	0	1	0.876376595244314	0.001
OTU401	0	0	1	3	0.73936307577618	0.001
OTU259	0	0	1	3	0.707664894419976	0.001
OTU2532	0	1	0	2	0.627251352416409	0.001
OTU2575	1	0	0	1	0.940872834832995	0.001
OTU2396	0	1	0	2	0.694567770590004	0.001
OTU764	1	0	0	1	0.776845321045377	0.001
OTU2288	1	0	0	1	0.627530874616991	0.001
OTU1131	1	0	0	1	0.476058832342291	0.001
OTU468	1	0	0	1	0.458160748369443	0.003
OTU1154	1	0	0	1	0.536799996080893	0.001
OTU2251	1	0	0	1	0.557935263254079	0.001
OTU1851	0	1	0	2	0.852867873630136	0.001
OTU3168	1	0	0	1	0.688289643964377	0.001
OTU2822	0	0	1	3	0.802662116781533	0.001
OTU2216	1	0	0	1	0.684154846191623	0.001
OTU624	0	1	0	2	0.688248548331904	0.005
OTU925	1	0	0	1	0.803347334661857	0.001
OTU277	0	0	1	3	0.630365309975841	0.001
OTU1950	0	0	1	3	0.64479406670876	0.004
OTU897	0	1	0	2	0.771373990843867	0.001
OTU1041	1	0	0	1	0.689215986940261	0.001
OTU2066	1	0	0	1	0.788135032490482	0.001
OTU1662	0	1	0	2	0.660790791159796	0.001
OTU1812	0	1	0	2	0.508972242362824	0.001
OTU1907	0	0	1	3	0.747679555773118	0.001
OTU2277	1	0	0	1	0.549398168471741	0.001
OTU2253	1	0	0	1	0.346542615600808	0.001
OTU2098	1	0	0	1	0.714198536339965	0.001
OTU2349	1	0	0	1	0.846361172185271	0.001
OTU2086	1	0	0	1	0.588836073836214	0.001
OTU1534	1	0	0	1	0.309883792117907	0.005
OTU2049	1	0	0	1	0.845013964923334	0.001
OTU844	0	1	0	2	0.625097352599826	0.001
OTU2825	0	0	1	3	0.704664736746276	0.001
OTU828	1	0	0	1	0.215041332228188	0.009
OTU2530	1	0	0	1	0.673652944171222	0.001
OTU1833	1	0	0	1	0.777394334493683	0.001
OTU3157	1	0	0	1	0.329751329596684	0.002
OTU2088	0	1	0	2	0.632345493116551	0.002
OTU2307	1	0	0	1	0.727381899489042	0.001
OTU284	0	0	1	3	0.672801433289475	0.001
OTU3106	1	0	0	1	0.817554140867306	0.001
OTU1298	0	0	1	3	0.635408712525275	0.001
OTU2139	1	0	0	1	0.653457263636283	0.001
OTU2285	1	0	0	1	0.67062245844606	0.001
OTU2021	1	0	0	1	0.724809045514969	0.001
OTU2400	0	1	0	2	0.600619345065011	0.002
OTU629	1	0	0	1	0.519007635969364	0.001
OTU937	1	0	0	1	0.696669754799389	0.001
OTU2584	0	0	1	3	0.58544498328635	0.001
OTU1097	1	0	0	1	0.537395942462169	0.001
OTU966	1	0	0	1	0.809362885319262	0.001
OTU834	1	0	0	1	0.587782660211585	0.001
OTU3221	1	0	0	1	0.733322524197654	0.001
OTU1732	1	0	0	1	0.468302893982968	0.001
OTU2217	1	0	0	1	0.67871227801407	0.001
OTU2202	1	0	0	1	0.601661089598059	0.001
OTU1006	1	0	0	1	0.612934058575284	0.001
OTU1723	1	0	0	1	0.624839620129009	0.001
OTU417	0	1	0	2	0.661771033623213	0.001
OTU2254	1	0	0	1	0.781315560033281	0.001
OTU193	0	0	1	3	0.434078212466804	0.001
OTU2020	1	0	0	1	0.69812620984488	0.001
OTU2368	0	1	0	2	0.668819416576537	0.001
OTU2333	1	0	0	1	0.659588259447442	0.001
OTU1772	0	0	1	3	0.657266336020198	0.001
OTU2175	1	0	0	1	0.752984223540148	0.001
OTU1846	0	0	1	3	0.542709129570764	0.001
OTU1310	1	0	0	1	0.35975393654309	0.002
OTU3091	1	0	0	1	0.438083472047745	0.001
OTU2539	0	1	0	2	0.783611173978156	0.001
OTU2479	1	0	0	1	0.658722955026473	0.001
OTU3232	1	0	0	1	0.438836233141167	0.001
OTU2533	1	0	0	1	0.444763267722181	0.001
OTU677	0	1	0	2	0.537806814290679	0.001
OTU2015	1	0	0	1	0.473592776893344	0.001
OTU2165	1	0	0	1	0.758081627013828	0.001
OTU157	0	1	0	2	0.66890532141625	0.001
OTU1810	1	0	0	1	0.459259092815894	0.005
OTU1307	0	1	0	2	0.912667823234968	0.001
OTU2136	1	0	0	1	0.549495290149089	0.001
OTU2360	0	1	0	2	0.61735284234334	0.001
OTU2110	1	0	0	1	0.729888765350082	0.001
OTU2281	1	0	0	1	0.700854273759777	0.001
OTU1869	1	0	0	1	0.481985973527045	0.001
OTU2341	1	0	0	1	0.695850047112435	0.001
OTU2308	1	0	0	1	0.595447402814422	0.001
OTU298	0	0	1	3	0.554461960637476	0.002
OTU2633	1	0	0	1	0.879675743010028	0.001
OTU1483	0	1	0	2	0.385444706982885	0.001
OTU2352	1	0	0	1	0.539648361441132	0.001
OTU2082	1	0	0	1	0.672524402051544	0.001
OTU2187	1	0	0	1	0.57787712470366	0.001
OTU2007	1	0	0	1	0.483831257015901	0.001
OTU1850	0	1	0	2	0.454621419367373	0.002
OTU2265	1	0	0	1	0.652138762168346	0.001
OTU279	0	1	0	2	0.416373550701724	0.001
OTU1927	0	1	0	2	0.710895239844493	0.001
OTU2057	1	0	0	1	0.715734978099105	0.001
OTU2052	1	0	0	1	0.637564540445969	0.001
OTU1910	1	0	0	1	0.638187297443813	0.001
OTU2072	1	0	0	1	0.415471277565074	0.004
OTU2497	1	0	0	1	0.501521261852383	0.001
OTU1512	0	1	0	2	0.707704371942987	0.001
OTU2092	1	0	0	1	0.420099029828834	0.002
