Gender	Auto-ID	Vater	Mutter	Käfignummer
m	48191	31939//agouti  L	32156//grey  L	Artem 1
m	48192	31939//agouti  L	32156//grey  L	Artem 1
m	48193	31939//agouti  L	32156//grey  L	Artem 1
m	48194	31939//agouti  L	32156//grey  L	Artem 1
m	48268	32055//black	32109//white  L	Artem 10
m	48269	32055//black	32109//white  L	Artem 10
m	48270	32055//black	32109//white  L	Artem 10
m	68510	48658//br - G19-831	50255//be L G19-816	Artem 100
m	68511	48658//br - G19-831	50255//be L G19-816	Artem 100/B
f	68512	48658//br - G19-831	50255//be L G19-816	Artem 101
f	68513	48658//br - G19-831	50255//be L G19-816	Artem 101
f	68514	48658//br - G19-831	50255//be L G19-816	Artem 101
f	68515	48658//br - G19-831	50255//be L G19-816	Artem 101
f	68516	48658//br - G19-831	50255//be L G19-816	Artem 101
m	68523	48681//bl R G19-833	50249//ag L G19-814	Artem 102
m	68524	48681//bl R G19-833	50249//ag L G19-814	Artem 102
m	68525	48681//bl R G19-833	50249//ag L G19-814	Artem 102/B
f	68526	48681//bl R G19-833	50249//ag L G19-814	Artem 103
f	68527	48681//bl R G19-833	50249//ag L G19-814	Artem 103
f	68528	48681//bl R G19-833	50249//ag L G19-814	Artem 103
f	68529	48681//bl R G19-833	50249//ag L G19-814	Artem 103
f	68530	48681//bl R G19-833	50249//ag L G19-814	Artem 104
f	68531	48681//bl R G19-833	50249//ag L G19-814	Artem 104
f	68532	48681//bl R G19-833	50249//ag L G19-814	Artem 104
m	68544	48718//bl - G19-837	48348//wh - G19-812	Artem 105
m	68545	48718//bl - G19-837	48348//wh - G19-812	Artem 105
m	68546	48718//bl - G19-837	48348//wh - G19-812	Artem 105
m	68547	48718//bl - G19-837	48348//wh - G19-812	Artem 106
m	68553	48718//bl - G19-837	48349//wh L G19-812	Artem 106
m	68554	48718//bl - G19-837	48349//wh L G19-812	Artem 106
f	68548	48718//bl - G19-837	48348//wh - G19-812	Artem 107
f	68549	48718//bl - G19-837	48348//wh - G19-812	Artem 107
f	68550	48718//bl - G19-837	48348//wh - G19-812	Artem 107
f	68551	48718//bl - G19-837	48348//wh - G19-812	Artem 107
f	68555	48718//bl - G19-837	48349//wh L G19-812	Artem 107
f	68556	48718//bl - G19-837	48349//wh L G19-812	Artem 107
m	68559	48799//gr - G19-843	49516//bl R G19-808	Artem 108
m	68558	48799//gr - G19-843	49516//bl R G19-808	Artem 108/B
m	68560	48799//gr - G19-843	49516//bl R G19-808	Artem 108/B
f	68561	48799//gr - G19-843	49516//bl R G19-808	Artem 109
f	68562	48799//gr - G19-843	49516//bl R G19-808	Artem 109
f	68563	48799//gr - G19-843	49516//bl R G19-808	Artem 109
f	68564	48799//gr - G19-843	49516//bl R G19-808	Artem 109
f	48271	32055//black	32109//white  L	Artem 11
f	48272	32055//black	32109//white  L	Artem 11
f	48273	32055//black	32109//white  L	Artem 11
f	48274	32055//black	32109//white  L	Artem 11
f	48275	32055//black	32109//white  L	Artem 11
f	68565	48799//gr - G19-843	49516//bl R G19-808	Artem 110
f	68566	48799//gr - G19-843	49516//bl R G19-808	Artem 110
f	68567	48799//gr - G19-843	49516//bl R G19-808	Artem 110
m	68568	48830//gr - G19-846	50231//be - G19-807	Artem 111
m	68569	48830//gr - G19-846	50231//be - G19-807	Artem 111
m	68570	48830//gr - G19-846	50231//be - G19-807	Artem 111
