NCMBID	Gender	Father	Mutter	cage
048191	m	031939//agoutiL	032156//greyL	F19-1
048192	m	031939//agoutiL	032156//greyL	F19-1
048193	m	031939//agoutiL	032156//greyL	F19-1
048194	m	031939//agoutiL	032156//greyL	F19-1
048268	m	032055//black	032109//whiteL	F19-10
048269	m	032055//black	032109//whiteL	F19-10
048270	m	032055//black	032109//whiteL	F19-10
068510	m	048658//br-G19-831	050255//beLG19-816	F20-100
068511	m	048658//br-G19-831	050255//beLG19-816	F20-100
068512	f	048658//br-G19-831	050255//beLG19-816	F20-101
068513	f	048658//br-G19-831	050255//beLG19-816	F20-101
068514	f	048658//br-G19-831	050255//beLG19-816	F20-101
068515	f	048658//br-G19-831	050255//beLG19-816	F20-101
068516	f	048658//br-G19-831	050255//beLG19-816	F20-101
068523	m	048681//blRG19-833	050249//agLG19-814	F20-102
068524	m	048681//blRG19-833	050249//agLG19-814	F20-102
068525	m	048681//blRG19-833	050249//agLG19-814	F20-102
068526	f	048681//blRG19-833	050249//agLG19-814	F20-103
068527	f	048681//blRG19-833	050249//agLG19-814	F20-103
068528	f	048681//blRG19-833	050249//agLG19-814	F20-103
068529	f	048681//blRG19-833	050249//agLG19-814	F20-103
068530	f	048681//blRG19-833	050249//agLG19-814	F20-104
068531	f	048681//blRG19-833	050249//agLG19-814	F20-104
068532	f	048681//blRG19-833	050249//agLG19-814	F20-104
068544	m	048718//bl-G19-837	048348//wh-G19-812	F20-105
068545	m	048718//bl-G19-837	048348//wh-G19-812	F20-105
068546	m	048718//bl-G19-837	048348//wh-G19-812	F20-105
068547	m	048718//bl-G19-837	048348//wh-G19-812	F20-106
068553	m	048718//bl-G19-837	048349//whLG19-812	F20-106
068554	m	048718//bl-G19-837	048349//whLG19-812	F20-106
068548	f	048718//bl-G19-837	048348//wh-G19-812	F20-107
068549	f	048718//bl-G19-837	048348//wh-G19-812	F20-107
068550	f	048718//bl-G19-837	048348//wh-G19-812	F20-107
068551	f	048718//bl-G19-837	048348//wh-G19-812	F20-107
068555	f	048718//bl-G19-837	048349//whLG19-812	F20-107
068556	f	048718//bl-G19-837	048349//whLG19-812	F20-107
068559	m	048799//gr-G19-843	049516//blRG19-808	F20-108
068558	m	048799//gr-G19-843	049516//blRG19-808	F20-108
068560	m	048799//gr-G19-843	049516//blRG19-808	F20-108
068561	f	048799//gr-G19-843	049516//blRG19-808	F20-109
068562	f	048799//gr-G19-843	049516//blRG19-808	F20-109
068563	f	048799//gr-G19-843	049516//blRG19-808	F20-109
068564	f	048799//gr-G19-843	049516//blRG19-808	F20-109
048271	f	032055//black	032109//whiteL	F19-11
048272	f	032055//black	032109//whiteL	F19-11
048273	f	032055//black	032109//whiteL	F19-11
048274	f	032055//black	032109//whiteL	F19-11
048275	f	032055//black	032109//whiteL	F19-11
068565	f	048799//gr-G19-843	049516//blRG19-808	F20-110
068566	f	048799//gr-G19-843	049516//blRG19-808	F20-110
068567	f	048799//gr-G19-843	049516//blRG19-808	F20-110
068568	m	048830//gr-G19-846	050231//be-G19-807	F20-111
068569	m	048830//gr-G19-846	050231//be-G19-807	F20-111
068570	m	048830//gr-G19-846	050231//be-G19-807	F20-111
068572	m	048830//gr-G19-846	050231//be-G19-807	F20-112
068573	m	048830//gr-G19-846	050231//be-G19-807	F20-112
068571	m	048830//gr-G19-846	050231//be-G19-807	F20-112
068574	f	048830//gr-G19-846	050231//be-G19-807	F20-113
068575	f	048830//gr-G19-846	050231//be-G19-807	F20-113
068576	f	048830//gr-G19-846	050231//be-G19-807	F20-113
068577	f	048830//gr-G19-846	050231//be-G19-807	F20-113
068578	f	048830//gr-G19-846	050231//be-G19-807	F20-113
068579	f	048830//gr-G19-846	050232//gr-G19-807	F20-114
068580	f	048830//gr-G19-846	050232//gr-G19-807	F20-114
068581	f	048830//gr-G19-846	050232//gr-G19-807	F20-114
068582	f	048830//gr-G19-846	050232//gr-G19-807	F20-114
068583	f	048830//gr-G19-846	050232//gr-G19-807	F20-114
068584	m	050287//be-G19-849	050215//blLG19-805	F20-115
068597	m	050308//agRG19-853	048284//blRG19-804	F20-115
068598	m	050308//agRG19-853	048284//blRG19-804	F20-115
068586	m	050287//be-G19-849	050213//bl-G19-805	F20-116
068587	m	050287//be-G19-849	050213//bl-G19-805	F20-116
068588	m	050287//be-G19-849	050213//bl-G19-805	F20-116
068585	f	050287//be-G19-849	050215//blLG19-805	F20-117
068589	f	050287//be-G19-849	050213//bl-G19-805	F20-117
068590	f	050287//be-G19-849	050213//bl-G19-805	F20-117
068599	f	050308//agRG19-853	048284//blRG19-804	F20-117
068600	f	050308//agRG19-853	048284//blRG19-804	F20-117
068602	m	050322//ag-G19-854	048252//blRG19-802	F20-118
068603	m	050322//ag-G19-854	048252//blRG19-802	F20-118
068601	m	050322//ag-G19-854	048252//blRG19-802	F20-118
068604	m	050322//ag-G19-854	048252//blRG19-802	F20-119
068608	m	050322//ag-G19-854	048251//grRG19-802	F20-119
068609	m	050322//ag-G19-854	048251//grRG19-802	F20-119
048278	f	032055//black	032108//white	F19-12
048279	f	032055//black	032108//white	F19-12
048280	f	032055//black	032108//white	F19-12
048281	f	032055//black	032108//white	F19-12
